0,0,0,0,0
1,0,0,0,0
2,0,130,130,130
3,1,2,1014,14
4,1,0,3,2
5,2,1,4,3
6,3,1,5,4
7,3,1,7,10
8,5,1,9,16
9,8,4,14,10
10,8,4,16,13
11,10,2,19,19
12,12,2,26,19
13,16,2,28,27
14,18,2,34,33
15,23,2,46,43
16,26,3,49,48
17,31,13,69,58
18,35,4,82,69
19,43,9,102,78
20,51,4,109,93
21,58,4,128,103
22,65,4,145,125
23,101,4,169,142
24,84,8,208,166
25,93,7,220,199
26,101,9,247,215
27,114,8,273,243
28,123,6,312,273
29,136,9,351,315
30,154,10,420,351
31,163,9,451,392
32,177,11,498,432
33,196,8,582,485
34,211,12,651,538
35,226,13,729,589
36,262,10,799,653
37,270,13,943,723
38,285,11,952,787
39,305,15,1047,868
40,332,11,1149,953
41,358,14,1255,1049
42,382,12,1366,1123
43,401,14,1484,1243
44,431,14,1625,1340
45,457,18,1753,1458
46,491,16,1946,1574
47,535,18,2190,1693
48,571,18,2234,1839
49,1156,20,2391,1978
50,919,20,2601,2127
51,1046,23,2754,2296
52,707,21,2987,2449
53,755,21,3212,2635
54,789,28,3450,2821
55,1057,24,3637,3015
56,898,23,3903,3223
57,1013,22,4271,3450
58,1081,26,4522,3694
59,1061,25,6157,3931
60,1098,27,5106,4217
61,1211,27,5482,4483
62,1167,32,5803,4783
63,1260,31,6159,5088
64,1281,27,6577,5358
65,1341,40,7059,5672
66,1401,39,7504,6026
67,1478,31,8006,6387
68,2288,31,8433,6724
69,3107,33,8947,7084
70,1658,33,9715,7564
71,1726,33,10075,7903
72,1825,33,10598,8294
73,1880,41,11245,8749
74,1941,37,12320,9166
75,2033,39,12577,9629
76,2119,39,13342,10146
77,2196,41,13980,10653
78,2275,40,14897,11233
79,2922,40,15623,11796
80,2444,43,16349,12429
81,2533,42,17222,13040
82,2636,44,18399,13652
83,2738,45,19705,14350
84,4512,45,20612,15121
85,2911,45,22068,15772
86,3183,47,22871,16609
87,3116,48,23542,17368
88,3253,51,24555,18199
89,3367,54,25613,19260
90,3445,53,26654,20120
91,3568,55,27682,20894
92,3663,55,29153,21932
93,9073,55,31443,22954
94,7321,59,31970,23994
95,9578,57,33363,25118
96,4228,60,35041,26225
97,4448,61,36506,27332
98,4487,62,38709,28583
99,4634,61,40047,29803
100,4843,65,42036,31096
101,5129,62,43373,32557
102,5053,67,45399,33865
103,5351,70,47639,35373
104,5489,73,48686,36809
105,5745,74,51676,38377
106,5678,70,52573,39990
107,5904,75,54932,41631
108,5925,72,57305,43257
109,6049,76,59024,45096
110,6168,74,63296,46843
111,6405,79,68478,48769
112,8645,94,66845,50679
113,8888,91,69287,52820
114,7265,79,72274,54727
115,7053,88,75090,56872
116,7681,83,77960,58971
117,7585,84,84397,61254
118,7791,89,87958,64023
119,7998,87,90939,66185
120,7840,91,109021,68477
121,7931,92,104126,71179
122,8374,94,104509,73585
123,8413,95,101057,76480
124,8564,110,102700,79157
125,8804,94,109929,81805
126,9043,99,114943,84718
127,8959,100,118273,87792
128,9190,110,122628,90924
129,9255,107,125669,94016
130,9651,105,133156,97409
131,9832,117,132241,100490
132,10194,110,138297,104025
133,10443,110,141926,107389
134,10774,113,147013,111285
135,10938,113,151881,114965
136,11113,114,160061,118575
137,11261,119,168192,122638
138,11440,120,169720,126628
139,11880,119,174935,130637
140,12116,122,181981,134507
141,12327,123,187875,139143
142,12607,124,202922,143630
143,12844,129,202818,148179
144,13186,127,205609,151974
145,13401,130,217780,157187
146,13658,127,218080,161943
147,13862,141,227490,166732
148,13938,142,237988,171382
149,14232,141,237762,177317
150,14494,147,252795,182357
151,14735,146,259531,187234
152,14963,146,263890,192484
153,15406,147,276602,200096
154,15530,146,282529,204798
155,16201,149,287738,209649
156,16233,150,300922,215531
157,16644,150,306709,222175
158,17012,152,314094,228666
159,17272,155,318523,235201
160,17918,155,339693,241201
161,18339,157,336801,248548
162,18503,162,347903,255013
163,18686,164,356747,261775
164,19213,163,369527,268207
165,19676,165,373176,275532
166,19660,164,381984,283436
167,19956,165,397351,290894
168,20419,166,402151,297610
169,20743,170,414703,306123
170,21448,172,424807,314499
171,21511,180,440332,322727
172,22001,177,444980,329590
173,22059,177,457256,338863
174,23593,181,466595,347470
175,23044,186,467156,356300
176,23690,182,484575,364362
177,23654,184,489593,376775
178,24100,192,500002,391373
179,24813,193,535198,393881
180,24760,194,574209,402012
181,25324,195,592137,412301
182,25640,194,588153,424221
183,26272,200,648343,439703
184,26814,201,668677,446036
185,26931,209,670268,454023
186,27261,202,672469,462278
187,27712,208,680733,473531
188,28476,209,776548,485041
189,28894,211,879143,495407
190,29210,213,734853,506115
191,29587,214,667584,518235
192,30092,223,737513,532537
193,30374,220,810641,541873
194,30776,223,836583,554093
195,31368,221,734308,566338
196,33026,226,755328,580975
197,32917,251,771793,593950
198,32902,234,810502,605184
199,33359,234,807562,618592
200,34169,233,844087,641351
201,34184,236,867917,647037
202,34886,241,856147,659263
203,35480,242,872419,674509
204,35845,247,893762,689782
205,36747,263,983853,703100
206,36752,253,1143422,716367
207,37477,252,1020368,731503
208,37914,256,1074832,750518
209,38613,255,1114189,761412
210,38942,256,1166201,787648
211,39806,262,1192354,797305
212,40375,264,1220603,810090
213,40841,263,1148200,831524
214,41224,267,1167153,847113
215,41857,268,1181942,862260
216,42368,276,1171991,877410
217,43241,277,1193118,897171
218,43523,278,1192700,915652
219,47345,277,1210369,933351
220,45540,279,1224452,948413
221,46397,281,1239379,971279
222,46128,295,1276272,991588
223,46929,297,1301831,1019315
224,47309,323,1345199,1028145
225,47768,310,1379952,1045216
226,48686,296,1419138,1064704
227,49305,302,1488018,1084822
228,50075,298,1494733,1109131
229,50819,301,1818708,1126880
230,51065,303,1508836,1145822
231,51845,307,1571824,1172453
232,52404,316,1562013,1190297
233,53305,315,1632372,1213764
234,54378,314,1673069,1235011
235,54324,316,1654494,1254257
236,55032,320,1679348,1275805
237,55888,335,1651306,1310101
238,56759,330,1770050,1326456
239,57576,328,1773193,1366533
240,58546,348,1752218,1376263
241,58575,345,1839931,1394929
242,59653,342,1744195,1417438
243,60521,352,1933243,1442574
244,60747,360,1876660,1494643
245,61870,348,2004882,1499335
246,62431,348,1942189,1543975
247,63251,352,1968391,1544939
248,64493,358,2009841,1570736
249,66056,360,2037743,1602163
250,65823,362,2134782,1930046
251,66853,365,2142956,1744079
252,67759,367,2319275,1685874
253,70267,373,2341948,1727806
254,72322,374,2256583,1736712
255,73214,381,2163156,1787761
256,73043,379,2241338,1825737
257,84121,393,2451494,1853870
258,76152,380,2508330,1861926
259,102784,381,2472733,1889506
260,77334,385,2612722,1921681
261,78209,390,2716436,1949189
262,79689,390,2616152,1985389
263,79339,393,2691921,2013016
264,77893,397,2701893,2040534
265,78026,414,2673076,2093539
266,82413,415,2685756,2125788
267,80265,407,2832552,2178497
268,85149,408,2850178,2180802
269,83250,495,2869017,2205695
270,82406,412,3063729,2239914
271,86161,417,3001699,2283611
272,84170,424,3144583,2325478
273,86083,423,3165755,2347749
274,89179,425,3144543,2413240
275,90889,431,3077111,2460556
276,91044,431,3448495,2467173
277,88830,448,3219633,2499930
278,89933,445,3264866,2569242
279,90686,441,3291130,3180690
280,92127,445,3271096,3230752
281,94350,446,3299556,2651286
282,96269,456,3354879,2724540
283,94852,457,3945022,2742236
284,99225,467,4361673,2776566
285,98217,479,3839629,2838762
286,97940,467,4057169,2877454
287,99565,466,5090222,2909515
288,104014,470,4041330,2942593
289,106733,486,5301780,2990454
290,102084,485,5063535,3034148
291,105795,488,4685977,3106299
292,107004,496,4498082,3127721
293,108510,489,4490190,3170277
294,106273,491,4611178,3217449
295,109472,535,4768708,3265801
296,108894,511,4969435,3301951
297,110139,506,10231173,3511311
298,110962,510,5509015,3406245
299,112507,513,4988033,3447651
300,112978,510,5164096,3579268
301,117372,513,4978837,3534176
302,123663,545,5788799,3580328
303,137949,535,6168381,3654119
304,143387,529,6854639,3694504
305,147117,547,5046185,3755861
306,120032,553,4852033,3788764
307,121013,536,4757349,3843109
308,123323,542,4762973,3899602
309,125154,556,5010169,3978199
310,124891,558,4885127,4007163
311,125743,548,4946484,4060096
312,127631,582,5036272,4107747
313,128889,568,5256255,4184397
314,129525,559,5139287,4257578
315,131054,595,5315062,4288062
316,131686,591,5274380,4326899
317,133876,576,5342974,4398325
318,136603,589,5439434,4445680
319,137310,586,5490077,4485821
320,137492,587,5587232,4582200
321,139102,582,5632832,4635599
322,141501,617,5850988,4702010
323,140612,609,5790056,4787845
324,142747,607,5874022,4814119
325,154755,622,5927077,4840036
326,151774,604,5965095,4932724
327,152357,605,6073797,4995860
328,152556,611,6168530,5039984
329,160169,640,6211361,5097277
330,177239,958,6300737,5185851
331,169297,621,6388908,5275652
332,180343,626,6439086,5302438
333,158914,621,6536020,5358095
334,162940,633,6599654,5459056
335,181664,650,6717680,5508095
336,203300,645,6763379,5588184
337,195146,641,6861845,5628900
338,174034,661,6912870,5737600
339,173832,673,7044696,5787066
340,175586,681,7102041,5865644
341,176639,728,7237287,5934774
342,172701,736,7298768,6035893
343,174448,713,7356922,6087793
344,176127,677,7450148,6156264
345,178725,670,7498766,6226904
346,178707,712,7583697,6314226
347,174457,714,7865927,6402671
348,175854,716,7773680,6450728
349,178634,714,8089241,6496423
350,178962,718,7963247,6586836
351,181821,734,8050472,6665338
352,185437,704,8194969,6750764
353,215669,710,8230520,6844527
354,218521,703,8524335,6904873
355,190918,711,8414735,6991970
356,187766,708,8531521,7102900
357,189639,711,8617148,7264839
358,192259,728,8746746,7226067
359,194549,724,8852869,7315941
360,195194,741,8876388,7432188
361,255779,743,9029500,7469571
362,209683,730,9100561,7559628
363,213175,775,9701739,7647664
364,211909,758,9334392,7734364
365,216643,743,9433028,7830131
366,219235,763,19348465,7946924
367,304401,758,9883875,8019949
368,223649,759,9728555,8135416
369,216151,759,9845510,8188506
370,211106,767,9999148,8262859
371,214731,769,10096455,8409798
372,214445,771,10198160,8459616
373,216264,774,10225731,8551981
374,217535,779,10400604,8665332
375,219025,788,10473726,8754470
376,221508,791,10605220,8872899
377,223524,790,10704486,9167382
378,225730,795,10768828,9084541
379,232611,808,10976280,9122864
380,229828,810,11119606,9211222
381,231840,808,11226594,9352258
382,264093,832,11292188,9438003
383,263441,822,11369024,9567691
384,251484,838,11620918,9687785
385,252324,836,11728248,9758404
386,254564,851,11693805,9907493
387,252578,834,11838207,9976741
388,245218,836,12061173,10104378
389,250492,842,12130955,10166866
390,246941,854,12225307,10279791
391,253385,868,12347684,10418462
392,254415,873,12472328,10478294
393,255966,863,13328534,10613121
394,257254,865,12814580,10739762
395,256400,868,12891596,10913987
396,258300,873,13001445,10947149
397,260348,874,13092208,11067232
398,269158,880,13190852,11185998
399,264190,951,13352322,11299858
400,266936,889,13525043,11396931
401,271046,892,13607854,11486825
402,270043,898,13737968,11666071
403,272162,906,13906002,20687394
404,274009,910,14041262,11977919
405,277969,919,14170900,12030925
406,279407,926,14395411,12183481
407,280526,919,14490259,12386297
408,284706,934,14543584,12400903
409,287251,939,14795322,12502991
410,288498,943,15160563,12607644
411,322792,937,15119572,12715376
412,342705,953,15110215,12819364
413,363758,954,15364958,12972598
414,316249,953,15759090,13272072
415,299270,963,15952371,13206853
416,299190,966,15855216,13454801
417,301388,971,16068468,14176249
418,309322,976,18071592,13911349
419,308822,989,21005133,13869440
420,313570,1009,17622507,13971967
421,313631,998,19748498,14104719
422,322832,1025,22902708,14288240
423,322120,999,19015942,14418579
424,317906,997,21992649,14499459
425,330583,1016,19184255,14690760
426,327694,1029,20615857,14794631
427,337816,1025,24114462,14886181
428,334165,1054,24496970,15044455
429,336972,1042,18739705,15170504
430,332212,1029,18648035,15326767
431,343836,1036,28965160,15528209
432,340405,1051,26785875,15592429
433,349562,1041,22470437,15912605
434,344981,1047,24853230,15923799
435,357064,1057,26872462,16099896
436,375651,1057,20730095,16483206
437,349924,1063,19205559,21584961
438,353797,1078,19388116,16709591
439,363822,1066,19714926,16899308
440,371977,1076,19888268,16841066
441,360850,1099,19873074,17128674
442,392179,1130,20131151,17159159
443,365813,1129,20354725,17420384
444,369362,1125,20422036,17577775
445,366689,1106,20543544,17668913
446,370481,1107,21174540,17870165
447,372414,1118,20876312,18023076
448,375119,1151,21097460,18145660
449,383646,1169,21345678,18431885
450,389222,1179,21515918,23378660
451,382955,1148,21696947,18713963
452,384698,1160,21908784,18945842
453,388771,1150,28882605,19031207
454,412784,1147,22343459,19166935
455,408252,1155,22533258,19416455
456,421529,1168,22747076,19781051
457,418307,1173,22939340,19679921
458,419030,1167,23078710,19898664
459,424954,1171,23293390,20267158
460,422986,1174,23452672,24160377
461,424278,1172,23715849,20440970
462,441890,1189,23797172,20729469
463,413513,1184,24093069,20743333
464,418298,1199,24246277,20862717
465,428703,1205,24509034,21143932
466,446297,1211,24847237,21332475
467,438626,1208,24917331,25551574
468,431212,1221,25104109,22003967
469,445273,1243,25334047,22007250
470,435250,1239,25610528,22045279
471,436110,1228,25705908,22097922
472,441753,1232,25875079,22469674
473,453680,1255,26226498,22796723
474,566726,1252,26411540,22849896
475,486139,1249,26735668,23153986
476,475076,1254,26887041,23291876
477,459790,1299,27519745,23553682
478,456079,1381,27458404,23643129
479,519519,1294,37354239,23999360
480,465753,1291,27755327,30606216
481,493331,1288,28064956,24433341
482,498963,1286,28549794,24581567
483,475087,1296,28564851,24783308
484,477229,1376,28672216,24985888
485,478061,1304,29108288,25301052
486,484819,1308,29210104,25591665
487,485802,1310,41361919,25500779
488,490315,1337,30304543,25946993
489,493745,1332,29953631,26077014
490,497899,1378,30097083,26348077
491,500391,1334,30746895,26419341
492,495426,1363,30541734,26555159
493,503161,1359,30985309,26878976
494,503472,1372,31248079,27120495
495,667569,1365,31356780,27234026
496,551278,1370,31832406,27585959
497,512559,1377,31721481,27864035
498,516302,1406,32218174,28101903
499,520915,1384,32294120,28384805
